model,forgetting_type,sparsity_or_dense,method,metric,value
EfficientNet-B0,classwise,dense,Retrain,UA,100
EfficientNet-B0,classwise,sparse80,Retrain,UA,100
EfficientNet-B0,classwise,dense,DistilRepair,UA,100
EfficientNet-B0,classwise,sparse80,DistilRepair,UA,96.14
EfficientNet-B0,classwise,dense,Retrain,MIA,100
EfficientNet-B0,classwise,sparse80,Retrain,MIA,100
EfficientNet-B0,classwise,dense,DistilRepair,MIA,100
EfficientNet-B0,classwise,sparse80,DistilRepair,MIA,100
EfficientNet-B0,classwise,dense,Retrain,RA,95.39
EfficientNet-B0,classwise,sparse80,Retrain,RA,88.2
EfficientNet-B0,classwise,dense,DistilRepair,RA,94.52
EfficientNet-B0,classwise,sparse80,DistilRepair,RA,91.36
EfficientNet-B0,classwise,dense,Retrain,TA,81.98
EfficientNet-B0,classwise,sparse80,Retrain,TA,78.13
EfficientNet-B0,classwise,dense,DistilRepair,TA,82.23
EfficientNet-B0,classwise,sparse80,DistilRepair,TA,83.23
EfficientNet-B0,random,dense,Retrain,UA,10.3
EfficientNet-B0,random,sparse80,Retrain,UA,13.74
EfficientNet-B0,random,dense,DistilRepair,UA,5.58
EfficientNet-B0,random,sparse80,DistilRepair,UA,8.56
EfficientNet-B0,random,dense,Retrain,MIA,76.82
EfficientNet-B0,random,sparse80,Retrain,MIA,73.81
EfficientNet-B0,random,dense,DistilRepair,MIA,40.37
EfficientNet-B0,random,sparse80,DistilRepair,MIA,78.54
EfficientNet-B0,random,dense,Retrain,RA,94.25
EfficientNet-B0,random,sparse80,Retrain,RA,85.72
EfficientNet-B0,random,dense,DistilRepair,RA,94.88
EfficientNet-B0,random,sparse80,DistilRepair,RA,91.55
EfficientNet-B0,random,dense,Retrain,TA,78.58
EfficientNet-B0,random,sparse80,Retrain,TA,75
EfficientNet-B0,random,dense,DistilRepair,TA,82.03
EfficientNet-B0,random,sparse80,DistilRepair,TA,81.28
